date_id,date_iso_format,year_number,quarter_number,month_number,day_number,month_name,day_name,week_of_the_year,week_of_the_month
20030331,2003-03-31,2003,1,3,31,March,Monday,13,5
20030401,2003-04-01,2003,2,4,1,April,Tuesday,13,1
20030402,2003-04-02,2003,2,4,2,April,Wednesday,13,1
20030403,2003-04-03,2003,2,4,3,April,Thursday,13,1
20030404,2003-04-04,2003,2,4,4,April,Friday,13,1
20030405,2003-04-05,2003,2,4,5,April,Saturday,13,1
20030406,2003-04-06,2003,2,4,6,April,Sunday,14,1
20030407,2003-04-07,2003,2,4,7,April,Monday,14,1
20030408,2003-04-08,2003,2,4,8,April,Tuesday,14,2
20030409,2003-04-09,2003,2,4,9,April,Wednesday,14,2
20030410,2003-04-10,2003,2,4,10,April,Thursday,14,2
20030411,2003-04-11,2003,2,4,11,April,Friday,14,2
20030412,2003-04-12,2003,2,4,12,April,Saturday,14,2
20030413,2003-04-13,2003,2,4,13,April,Sunday,15,2
20030414,2003-04-14,2003,2,4,14,April,Monday,15,2
20030415,2003-04-15,2003,2,4,15,April,Tuesday,15,3
20030416,2003-04-16,2003,2,4,16,April,Wednesday,15,3
20030417,2003-04-17,2003,2,4,17,April,Thursday,15,3
20030418,2003-04-18,2003,2,4,18,April,Friday,15,3
20030419,2003-04-19,2003,2,4,19,April,Saturday,15,3
20030420,2003-04-20,2003,2,4,20,April,Sunday,16,3
20030421,2003-04-21,2003,2,4,21,April,Monday,16,3
20030422,2003-04-22,2003,2,4,22,April,Tuesday,16,4
20030423,2003-04-23,2003,2,4,23,April,Wednesday,16,4
20030424,2003-04-24,2003,2,4,24,April,Thursday,16,4
20030425,2003-04-25,2003,2,4,25,April,Friday,16,4
20030426,2003-04-26,2003,2,4,26,April,Saturday,16,4
20030427,2003-04-27,2003,2,4,27,April,Sunday,17,4
20030428,2003-04-28,2003,2,4,28,April,Monday,17,4
20030429,2003-04-29,2003,2,4,29,April,Tuesday,17,5
20030430,2003-04-30,2003,2,4,30,April,Wednesday,17,5
20030501,2003-05-01,2003,2,5,1,May,Thursday,17,1
20030502,2003-05-02,2003,2,5,2,May,Friday,17,1
20030503,2003-05-03,2003,2,5,3,May,Saturday,17,1
20030504,2003-05-04,2003,2,5,4,May,Sunday,18,1
20030505,2003-05-05,2003,2,5,5,May,Monday,18,1
20030506,2003-05-06,2003,2,5,6,May,Tuesday,18,1
20030507,2003-05-07,2003,2,5,7,May,Wednesday,18,1
20030508,2003-05-08,2003,2,5,8,May,Thursday,18,2
20030509,2003-05-09,2003,2,5,9,May,Friday,18,2
20030510,2003-05-10,2003,2,5,10,May,Saturday,18,2
20030511,2003-05-11,2003,2,5,11,May,Sunday,19,2
20030512,2003-05-12,2003,2,5,12,May,Monday,19,2
20030513,2003-05-13,2003,2,5,13,May,Tuesday,19,2
20030514,2003-05-14,2003,2,5,14,May,Wednesday,19,2
20030515,2003-05-15,2003,2,5,15,May,Thursday,19,3
20030516,2003-05-16,2003,2,5,16,May,Friday,19,3
20030517,2003-05-17,2003,2,5,17,May,Saturday,19,3
20030518,2003-05-18,2003,2,5,18,May,Sunday,20,3
20030519,2003-05-19,2003,2,5,19,May,Monday,20,3
20030520,2003-05-20,2003,2,5,20,May,Tuesday,20,3
20030521,2003-05-21,2003,2,5,21,May,Wednesday,20,3
20030522,2003-05-22,2003,2,5,22,May,Thursday,20,4
20030523,2003-05-23,2003,2,5,23,May,Friday,20,4
20030524,2003-05-24,2003,2,5,24,May,Saturday,20,4
20030525,2003-05-25,2003,2,5,25,May,Sunday,21,4
20030526,2003-05-26,2003,2,5,26,May,Monday,21,4
20030527,2003-05-27,2003,2,5,27,May,Tuesday,21,4
20030528,2003-05-28,2003,2,5,28,May,Wednesday,21,4
20030529,2003-05-29,2003,2,5,29,May,Thursday,21,5
20030530,2003-05-30,2003,2,5,30,May,Friday,21,5
20030531,2003-05-31,2003,2,5,31,May,Saturday,21,5
20030601,2003-06-01,2003,2,6,1,June,Sunday,22,1
20030602,2003-06-02,2003,2,6,2,June,Monday,22,1
20030603,2003-06-03,2003,2,6,3,June,Tuesday,22,1
20030604,2003-06-04,2003,2,6,4,June,Wednesday,22,1
20030605,2003-06-05,2003,2,6,5,June,Thursday,22,1
20030606,2003-06-06,2003,2,6,6,June,Friday,22,1
20030607,2003-06-07,2003,2,6,7,June,Saturday,22,1
20030608,2003-06-08,2003,2,6,8,June,Sunday,23,2
20030609,2003-06-09,2003,2,6,9,June,Monday,23,2
20030610,2003-06-10,2003,2,6,10,June,Tuesday,23,2
20030611,2003-06-11,2003,2,6,11,June,Wednesday,23,2
20030612,2003-06-12,2003,2,6,12,June,Thursday,23,2
